   List of levels:

     Level   Energy             Jpi    K
   1233      10-        9-   364.10(20)      3.00(22)     3.82e-02   0.00  M1
   1233      10-        8-   682.9(3)        10.0(4)      5.10e-03   0.00  E2
   2046      12-       11-   473.5(4)        1.40(21)     1.96e-02   0.00  M1
   2046      12-       10-   812.9(3)        8.5(4)       3.39e-03   0.00  E2
   2962      14-       13-   581.9(3)        0.6(10)      1.18e-02   0.00  M1
   2962      14-       12-   916.3(4)        2.10(23)     2.59e-03   0.00  E2
    292       7-        6-   224.30(20)      38.0(10)     1.38e-01   0.00  M1
    869       9-        8-   215.80(20)      1.80(23)     1.52e-01   0.00  M1
    869       9-        8-   318.80(20)      14.0(5)      5.41e-02   0.00  M1
    869       9-        7-   576.60(20)      11.5(3)      7.80e-03   0.00  E2
   1573      11-       10-   239.6(3)        0.7(10)      1.16e-01   0.00  M1
   1573      11-       10-   339.80(20)      3.20(21)     4.57e-02   0.00  M1
   1573      11-        9-   703.90(20)      16.0(5)      4.73e-03   0.00  E2
   2380      13-       12-   246.6(4)        0.6(10)      1.06e-01   0.00  M1
   2380      13-       12-   333.8(4)        1.0(10)      4.80e-02   0.00  M1
   2380      13-       11-   807.00(20)      15.0(5)      3.45e-03   0.00  E2
   3286      15-       14-   324.4(3)        0.5(10)      5.19e-02   0.00  M1
   3286      15-       13-   906.5(3)        2.90(21)     2.67e-03   0.00  E2
   1133       9-        8-   251.10(20)      7.5(4)       1.02e-01   0.00  M1
   1133       9-        7-   381.7(3)        2.5(10)      2.43e-02   0.00  E2
   1133       9-        7-   451.10(20)      2.1(10)      1.49e-02   0.00  E2
   1779      11-       10-   393.0(3)        3.0(3)       3.14e-02   0.00  M1
   1779      11-        9-   646.30(20)      9.0(5)       5.82e-03   0.00  E2
   1779      11-        9-   753.9(4)        1.1(10)      4.04e-03   0.00  E2
   2602      13-       12-   444.4(4)        0.5(10)      2.30e-02   0.00  M1
   2602      13-       12-   500.6(4)        0.6(10)      1.72e-02   0.00  M1
   2602      13-       11-   822.60(20)      4.0(3)       3.30e-03   0.00  E2
   2602      13-       11-   883.10(20)      2.00(22)     2.81e-03   0.00  E2
   2602      13-       12+   1328.7(5)       0.2(10)      5.33e-04   0.00  E1
    116       3-        2-   115.70(20)      15.0(6)      8.67e-01   0.00  M1
    400       5-        4-   152.50(20)      13.5(9)      3.99e-01   0.00  M1
    400       5-        3-   283.9(4)        0.4(10)      6.05e-02   0.00  E2
    400       5-        6-   331.8(3)        3.5(10)      4.88e-02   0.00  M1
    682       7-        6-   164.50(20)      9.5(6)       3.23e-01   0.00  M1
    682       7-        6-   614.1(4)        0.6(10)      1.03e-02   0.00  M1
    751       7-        6-   46.5(4)         0.3(10)      1.21e+01   0.00  M1
    751       7-        6-   166.9(3)        0.1(10)      3.10e-01   0.00  M1
    751       7-        6-   233.9(3)        3.4(3)       1.23e-01   0.00  M1
    751       7-        8+   337.6(4)        2.5(10)      9.66e-03   0.00  E1
    751       7-        7+   376.9(4)        1.4(10)      7.33e-03   0.00  E1
    751       7-        7-   459.5(3)        4.0(10)      2.12e-02   0.00  M1
    751       7-        6-   683.6(4)        2.0(10)      7.95e-03   0.00  M1
   1086       9-        8-   179.20(20)      2.10(20)     2.54e-01   0.00  M1
   1086       9-        8-   204.0(3)        7.0(5)       1.79e-01   0.00  M1
   1086       9-        7-   334.4(3)        1.0(10)      3.62e-02   0.00  E2
   1086       9-        7-   403.80(20)      7.1(5)       2.06e-02   0.00  E2
   1719      11-       10-   332.50(20)      4.1(3)       4.85e-02   0.00  M1
