   List of levels:

     Level   Energy             Jpi    K
   2745    19/2-     17/2+   460.8(10)       0.98(24)     2.18e-03   0.00  E1
   2882    19/2+     17/2+   464.2(8)        1.22(20)     6.12e-03   0.00  M1
   4080    27/2-     25/2-   464.60(20)      3.90(10)     6.11e-03   0.00  M1
   6568    37/2+     35/2+   465.50(20)      0.341(24)    6.08e-03   0.00  M1
   5663    35/2+     33/2+   466.3(5)        1.93(7)      6.19e-03   0.00  M1
   3559    23/2-     21/2-   467.6(10)       0.49(24)     6.01e-03   0.00  M1
   3012    23/2-     19/2-   473.2(10)       1.83(24)     6.65e-03   0.00  E2
   4446    27/2-     25/2-   473.6(10)       0.07(24)     5.83e-03   0.00  M1
   5060    31/2-     29/2-   477.2(10)       0.07(24)     5.73e-03   0.00  M1
   4559    29/2-     27/2-   479.2(10)       1.10(24)     5.67e-03   0.00  M1
   3631    25/2+     21/2+   480.3(10)       0.17(24)     6.38e-03   0.00  E2
   3416    23/2-     21/2-   481.7(10)       1.22(24)     5.60e-03   0.00  M1
   3227    23/2-     19/2-   482.7(10)       0.12(24)     6.27e-03   0.00  E2
   5305    31/2-     29/2-   486.1(10)       0.17(7)      5.48e-03   0.00  M1
   2366    15/2-     11/2-   487.9(10)       0.24(24)     6.08e-03   0.00  E2
   2906    19/2-     17/2-   488.9(10)       0.32(24)     5.40e-03   0.00  M1
    847     7/2-      5/2-   489.90(20)      3.41(24)     5.37e-03   0.00  M1
   4106    27/2-     25/2-   490.5(10)       0.24(24)     5.36e-03   0.00  M1
   5197    33/2+     31/2+   491.10(10)      3.66(17)     5.32e-03   0.00  M1
   2910    19/2+     17/2+   492.1(10)       0.29(24)     5.32e-03   0.00  M1
   4605    29/2-     27/2-   499.50(20)      0.78(7)      5.13e-03   0.00  M1
   3416    23/2-     21/2-   500.3(10)       0.73(24)     5.17e-03   0.00  M1
   1851    15/2+     13/2+   502.00(20)      3.41(20)     5.13e-03   0.00  M1
   4583    29/2-     27/2-   503.10(10)      0.98(24)     5.10e-03   0.00  M1
   3778    25/2-     23/2-   504.7(10)       0.85(24)     5.06e-03   0.00  M1
   4818    29/2-     27/2-   513.5(10)       0.12(24)     4.85e-03   0.00  M1
   5345    31/2+     29/2+   515.8(10)       0.49(24)     4.80e-03   0.00  M1
   5576    33/2-     31/2-   516.00(20)      0.24(10)     4.80e-03   0.00  M1
   2236    17/2+     17/2+   519.9(9)        1.71(20)     4.70e-03   0.00  M1
   4605    29/2-     27/2-   525.5(10)       0.05(24)     4.59e-03   0.00  M1
   3227    23/2-     19/2-   527.90(20)      0.32(5)      4.89e-03   0.00  E2
   1349    13/2+     13/2+   527.9(6)        0.73(17)     4.54e-03   0.00  M1
